Movie Name,Rank,Year,Rating,Release Date, Commercial description,Number of Reviews
Mid90s (2018),25,2018,7.4,"26 October 2018 (USA)
","Follows Stevie, a thirteen-year-old in 1990s-era Los Angeles who spends his summer navigating between his troubled home life and a group of new friends that he meets at a Motor Avenue skate shop.",296
Can You Ever Forgive Me? (2018),26,2018,7.1,"2 November 2018 (South Africa)
","When Lee Israel falls out of step with current tastes, she turns her art form to deception.",251
Instant Family (2018),27,2018,7.3,"16 November 2018 (USA)
",A couple find themselves in over their heads when they foster three children.,614
Ant-Man and the Wasp (2018),28,2018,7.1,"6 July 2018 (USA)
","As Scott Lang balances being both a superhero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past.",955
Widows (2018),29,2018,6.9,"16 November 2018 (USA)
",Four women with nothing in common except a debt left behind by their dead husbands' criminal activities take fate into their own hands and conspire to forge a future on their own terms.,590
The Mule (2018),30,2018,7,"14 December 2018 (USA)
",A ninety-year-old horticulturist and Korean War veteran turns drug mule for a Mexican cartel.,712
You Were Never Really Here (2017),31,2018,6.8,"6 April 2018 (USA)
","A traumatized veteran, unafraid of violence, tracks down missing girls for a living. When a job spins out of control, Joe's nightmares overtake him as a conspiracy is uncovered leading to what may be his death trip or his awakening.",721
Boy Erased (2018),32,2018,6.9,"8 November 2018 (Australia)
",The son of a Baptist preacher unwillingly participates in a church-supported gay conversion program after being forcibly outed to his parents.,193
Ben Is Back (2018),33,2018,6.7,"5 December 2018 (Spain)
",A drug addicted teenage boy shows up unexpectedly at his family's home on Christmas Eve.,130
Bird Box (2018),34,2018,6.6,"21 December 2018 (USA)
","Five years after an ominous unseen presence drives most of society to suicide, a mother and her two children make a desperate bid to reach safety.",2822
Sicario: Day of the Soldado (2018),35,2018,7.1,"29 June 2018 (USA)
","The drug war on the U.S.-Mexico border has escalated as the cartels have begun trafficking terrorists across the US border. To fight the war, federal agent Matt Graver re-teams with the mercurial Alejandro.",682
"Love, Simon (2018)",36,2018,7.6,"16 March 2018 (USA)
","Simon Spier keeps a huge secret from his family, his friends and all of his classmates: he's gay. When that secret is threatened, Simon must face everyone and come to terms with his identity.",551
Green Book (2018),37,2018,8.2,"16 November 2018 (USA)
",A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,1527
Creed II (2018),38,2018,7.1,"21 November 2018 (USA)
","Under the tutelage of Rocky Balboa, newly crowned heavyweight champion Adonis Creed faces off against Viktor Drago, the son of Ivan Drago.",779
White Boy Rick (2018),39,2018,6.5,"14 September 2018 (USA)
","The story of teenager Richard Wershe Jr., who became an undercover informant for the FBI during the 1980s and was ultimately arrested for drug-trafficking and sentenced to life in prison.",204
Hostiles (2017),40,2018,7.2,"26 January 2018 (USA)
","In 1892, a legendary Army Captain reluctantly agrees to escort a Cheyenne chief and his family through dangerous territory.",458
Bohemian Rhapsody (2018),41,2018,8,"2 November 2018 (USA)
","The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).",3392
Ready Player One (2018),42,2018,7.5,"29 March 2018 (USA)
","When the creator of a virtual reality called the OASIS dies, he makes a posthumous challenge to all OASIS users to find his Easter Egg, which will give the finder his fortune and control of his world.",2054
Game Night (2018),43,2018,6.9,"23 February 2018 (USA)
",A group of friends who meet regularly for game nights find themselves entangled in a real-life mystery when the shady brother of one of them is seemingly kidnapped by dangerous gangsters.,607
Mandy (2018),44,2018,6.5,"14 September 2018 (USA)
","The enchanted lives of a couple in a secluded forest are brutally shattered by a nightmarish hippie cult and their demon-biker henchmen, propelling a man into a spiraling, surreal rampage of vengeance.",929
Solo: A Star Wars Story (2018),45,2018,6.9,"25 May 2018 (USA)
","During an adventure into the criminal underworld, Han Solo meets his future co-pilot Chewbacca and encounters Lando Calrissian years before joining the Rebellion.",2510
The Meg (2018),46,2018,5.6,"10 August 2018 (USA)
",A group of scientists exploring the Marianas Trench encounter the largest marine predator that has ever existed - the Megalodon.,1541
Tag (2018),47,2018,6.5,"15 June 2018 (USA)
","A small group of former classmates organize an elaborate, annual game of tag that requires some to travel all over the country.",485
Blockers (2018),48,2018,6.2,"6 April 2018 (USA)
",Three parents try to stop their daughters from losing their virginity on prom night.,365
Mile 22 (2018),49,2018,6.1,"17 August 2018 (USA)
","A small team of elite American intelligence officers, part of a top-secret tactical command unit, try to smuggle a mysterious police officer with sensitive information out of Indonesia.",863
