Movie Name,Rank,Year,Rating,Release Date, Commercial description,Number of Reviews
A Monster Calls (2016),41,2016,7.5,"6 January 2017 (USA)
",A boy seeks the help of a tree monster to cope with his single mother's terminal illness.,251
"I, Daniel Blake (2016)",42,2016,7.9,"9 June 2017 (USA)
","After having suffered a heart-attack, a 59-year-old carpenter must fight the bureaucratic forces of the system in order to receive Employment and Support Allowance.",182
Lights Out (2016),43,2016,6.3,"22 July 2016 (USA)
","Rebecca must unlock the terror behind her little brother's experiences that once tested her sanity, bringing her face to face with a supernatural spirit attached to their mother.",385
The Innocents (2016),44,2016,7.3,"10 February 2016 (France)
","1945. Mathilde is a French Red Cross doctor working on a mission to help the French survivors of the German camps. While she works in Poland, she is asked for help by a nun. In her convent, several nuns are pregnant.",40
Rogue One: A Star Wars Story (2016),45,2016,7.8,"16 December 2016 (USA)
",The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the plans for the Death Star.,1805
13 Hours (2016),46,2016,7.3,"15 January 2016 (USA)
","During an attack on a U.S. compound in Libya, a security team struggles to make sense out of the chaos.",374
Fantastic Beasts and Where to Find Them (2016),47,2016,7.3,"18 November 2016 (USA)
",The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.,834
The Autopsy of Jane Doe (2016),48,2016,6.8,"21 December 2016 (USA)
","A father and son, both coroners, are pulled into a complex mystery while attempting to identify the body of a young woman, who was apparently harboring dark secrets.",485
American Honey (2016),49,2016,7,"14 October 2016 (UK)
","A teenage girl with nothing to lose joins a traveling magazine sales crew, and gets caught up in a whirlwind of hard partying, law bending and young love as she criss-crosses the Midwest with a band of misfits.",206
The Founder (2016),50,2016,7.2,"20 January 2017 (USA)
","The story of Ray Kroc, a salesman who turned two brothers' innovative fast food eatery, McDonald's, into the biggest restaurant business in the world, with a combination of ambition, persistence, and ruthlessness.",305
