Movie Name,Rank,Year,Rating,Tagline,Movie Budget,Gross Budget
Triple Frontier (2019) ,32,2019,6.4,N/A,N/A,N/A
Richard Jewell (2019) ,33,2019,7.5,The world will know his name and the truth.                ,45000000,43745542
Little Monsters (2019) ,34,2019,6.3,Playtime is over.,N/A,97111
Luce (2019) ,35,2019,6.7,The Truth Has Many Faces,N/A,2268204
The King (2019) ,36,2019,7.2,N/A,N/A,126931
Come to Daddy (2019) ,37,2019,6,N/A,N/A,117947
Monos (2019) ,38,2019,7,N/A,N/A,1929915
Us (2019) ,39,2019,6.9,"Two Years Ago, Jordan Peele Redefined the Genre with ""Get Out."" On March 22, Discover His New Nightmare.                ",20000000,255184580
Knives Out (2019) ,40,2019,7.9,"Hell, any of them could have done it.                ",40000000,311398301
Villains (2019) ,41,2019,6.2,Two bad people are about to meet two worse people.,N/A,N/A
Spider-Man: Far from Home (2019) ,42,2019,7.5,N/A,160000000,1131927996
Avengers: Endgame (2019) ,43,2019,8.4,Part of the journey is the end.                ,356000000,2797800564
High Flying Bird (2019) ,44,2019,6.2,Play the Game on top of the Game,2000000,N/A
I Am Mother (2019) ,45,2019,6.7,She'll keep you safe,N/A,643593
Fighting with My Family (2019) ,46,2019,7.1,A Comedy About a Family That Fights a Little Differently                ,11000000,40811919
Booksmart (2019) ,47,2019,7.2,Getting Straight A's. Giving Zero F's.,6000000,24863452
John Wick: Chapter 3 - Parabellum (2019) ,48,2019,7.4,"This Friday, Wick is Back                ",75000000,326709727
Godzilla: King of the Monsters (2019) ,49,2019,6,One King To Rule Them All                ,170000000,386600138
Always Be My Maybe (2019) ,50,2019,6.8,There's Always Been Something Between Them,N/A,N/A
Avengers: Infinity War (2018) ,1,2018,8.4,Destiny arrives.                ,321000000,2048359754
The Favourite (2018) ,2,2018,7.5,N/A,15000000,95918706
Eighth Grade (2018) ,3,2018,7.4,Based on the most awkward year of your life,2000000,14347433
A Star Is Born (2018) ,4,2018,7.6,N/A,36000000,436188866
Hereditary (2018) ,5,2018,7.3,Every family tree hides a secret.                ,10000000,80239658
A Quiet Place (2018) ,6,2018,7.5,"If they hear you, they hunt you.                ",17000000,340952971
BlacKkKlansman (2018) ,7,2018,7.5,Based on a true story.                ,15000000,93400823
Mission: Impossible - Fallout (2018) ,8,2018,7.7,Some missions are not a choice.,178000000,791120426
Spider-Man: Into the Spider-Verse (2018) ,9,2018,8.4,Enter a universe where more than one wears the mask.                ,90000000,375540831
Aquaman (2018) ,10,2018,6.9,He's not from around here.                ,160000000,1148485886
Bad Times at the El Royale (2018) ,11,2018,7.1,Seven strangers. Seven secrets. All roads lead here.,32000000,31882724
If Beale Street Could Talk (2018) ,12,2018,7.1,Trust Love All the Way,12000000,20596567
Deadpool 2 (2018) ,13,2018,7.7,The second coming.                ,110000000,785794344
Beautiful Boy (2018) ,14,2018,7.3,See the Movie. Start the Conversation. The Time is Now.                ,25000000,16636604
Vice (2018) ,15,2018,7.2,The Untold True Story That Changed the Course of History.                ,60000000,76073488
First Reformed (2017) ,16,2018,7.1,"Forgive us, for we have sinned.                ",N/A,3862498
Blindspotting (2018) ,17,2018,7.4,Change The Way You See.                ,N/A,5006989
Annihilation (2018) ,18,2018,6.8,Fear What's Inside                ,40000000,43070915
Upgrade (2018) ,19,2018,7.5,Not Man. Not Machine. More.,5000000,16706680
Incredibles 2 (2018) ,20,2018,7.6,Suit up.                ,200000000,1242805359
Black Panther (2018) ,21,2018,7.3,His father's legacy. His people's rage. Her king's love. Her nation's honor. His country's orders. His nation's security. His enemy's revenge. Her son's survival. His king's commands. Her brother's keeper. His people's pride.                ,200000000,1347598739
The Old Man & the Gun (2018) ,22,2018,6.7,It's not about making a living. It's about living.                ,N/A,17860397
"Don't Worry, He Won't Get Far on Foot (2018) ",23,2018,6.9,Don't just sit there. Do nothing.,N/A,4241656
Sorry to Bother You (2018) ,24,2018,6.9,N/A,3200000,18170707
Mid90s (2018) ,25,2018,7.4,Fall. Get back up.,1700000,9303022
Can You Ever Forgive Me? (2018) ,26,2018,7.1,Her greatest work will be her biggest crime.,10000000,12442161
Instant Family (2018) ,27,2018,7.3,Just add chaos laughter awkwardness mistakes love.,48000000,120556201
Ant-Man and the Wasp (2018) ,28,2018,7.1,Real heroes. Not actual size.,162000000,622674139
Widows (2018) ,29,2018,6.9,Left with nothing. Capable of anything.,42000000,75984700
The Mule (2018) ,30,2018,7,Inspired by a True Story                ,50000000,174804407
You Were Never Really Here (2017) ,31,2018,6.8,Bring the hammer.,N/A,9360514
Boy Erased (2018) ,32,2018,6.9,The Truth Cannot Be Converted,11000000,11853081
Ben Is Back (2018) ,33,2018,6.7,One family. One day.,13000000,10134204
Bird Box (2018) ,34,2018,6.6,Never Lose Sight of Survival,N/A,N/A
Sicario: Day of the Soldado (2018) ,35,2018,7.1,Witness the next chapter of the Sicario saga.                ,35000000,75837743
"Love, Simon (2018) ",36,2018,7.6,Experience a love story that must come out.                ,17000000,66316289
Green Book (2018) ,37,2018,8.2,Inspired by a True Friendship,23000000,321752656
Creed II (2018) ,38,2018,7.1,The Legacy Continues.                ,50000000,214215889
White Boy Rick (2018) ,39,2018,6.5,Based on the true story.                ,29000000,25957482
Hostiles (2017) ,40,2018,7.2,We are all... Hostiles.,39000000,35669017
Bohemian Rhapsody (2018) ,41,2018,8,The only thing more extraordinary than their music is his story                ,52000000,903976359
Ready Player One (2018) ,42,2018,7.5,Break Free                ,175000000,582893671
Game Night (2018) ,43,2018,6.9,This is not a game.,37000000,117679066
Mandy (2018) ,44,2018,6.5,N/A,6000000,1542221
Solo: A Star Wars Story (2018) ,45,2018,6.9,Never tell him the odds.,275000000,392924807
The Meg (2018) ,46,2018,5.6,The most feared predator in history...is no longer history.                ,130000000,530259473
Tag (2018) ,47,2018,6.5,Based on a True Story. We're Not Kidding.,28000000,78130625
Blockers (2018) ,48,2018,6.2,Parents Can Be Such....                ,21000000,94019120
Mile 22 (2018) ,49,2018,6.1,90 minutes. 22 miles. Zero back up.                ,50000000,66308758
"Three Billboards Outside Ebbing, Missouri (2017) ",1,2017,8.2,N/A,15000000,160192031
Get Out (2017) ,2,2017,7.7,"Just because you're invited, doesn't mean you're welcome.                ",4500000,255446148
The Florida Project (2017) ,3,2017,7.6,Find Your Kingdom.                ,2000000,10971298
John Wick: Chapter 2 (2017) ,4,2017,7.5,The Only Way Out Is Back In.                ,40000000,171547802
Lady Bird (2017) ,5,2017,7.4,Fly away home.                ,10000000,78965611
The Shape of Water (2017) ,6,2017,7.3,Experience a connection beyond words.                ,19400000,195333312
Mother! (2017) ,7,2017,6.6,seeing is believing,30000000,44516999
Good Time (2017) ,8,2017,7.4,Are you ready for a Good Time?,4500000,3283369
Split (2016) ,9,2017,7.3,Kevin has 23 distinct personalities. The 24th is about to be unleashed.,9000000,278454417
Logan (2017) ,10,2017,8.1,His time has come                ,97000000,619021436
Call Me by Your Name (2017) ,11,2017,7.9,Is it better to speak or die?,EUR4000000,41888346
Brawl in Cell Block 99 (2017) ,12,2017,7.1,N/A,N/A,64453
Star Wars: Episode VIII - The Last Jedi (2017) ,13,2017,7,Always in Motion is the Future                ,317000000,1332697499
The Disaster Artist (2017) ,14,2017,7.4,N/A,10000000,29820616
Blade Runner 2049 (2017) ,15,2017,8,The key to the future is finally unearthed.,150000000,259239658
War for the Planet of the Apes (2017) ,16,2017,7.4,For freedom. For family. For the planet.,150000000,490719763
Thor: Ragnarok (2017) ,17,2017,7.9,Thunder Will Reign.                ,180000000,853983829
Baby Driver (2017) ,18,2017,7.6,All you need is one killer track.                ,34000000,226945087
Logan Lucky (2017) ,19,2017,7,2 Brothers. 3 arms. 1 incredible plan.                ,29000000,48453605
Detroit (2017) ,20,2017,7.3,Now More Than Ever.                ,34000000,23355100
Ingrid Goes West (2017) ,21,2017,6.6,She'll Follow You,N/A,3146831
American Made (2017) ,22,2017,7.2,Based on a True Lie                ,50000000,134866593
Dunkirk (2017) ,23,2017,7.9,We Shall Never Surrender.                ,100000000,526949403
"I, Tonya (2017) ",24,2017,7.5,Fitting in is overrated                ,11000000,53939297
Wind River (2017) ,25,2017,7.7,This is the land of you're on your own.                ,11000000,43980821
Spider-Man: Homecoming (2017) ,26,2017,7.4,Homework can wait. The city can't.,175000000,880166924
The Big Sick (2017) ,27,2017,7.5,An Awkward True Story,5000000,56411585
Jumanji: Welcome to the Jungle (2017) ,28,2017,6.9,Landing This Christmas.                ,90000000,962102719
Colossal (2016) ,29,2017,6.2,An Uncontrollable Monster.                ,15000000,4531320
Wonder (2017) ,30,2017,8,Choose kind                ,20000000,305940606
